"","RT_or_not","t_hash","t_mention","t_sentiment","V5","V6","V7","t_link"
"504",1,9,2,2,0,0,1,1
"505",0,1,0,2,0,1,0,1
"506",0,1,0,3,0,0,2,1
"507",0,1,0,2,0,1,0,1
"508",0,1,0,3,0,0,2,1
"509",0,3,0,2,0,0,0,1
"510",0,3,0,2,1,0,0,1
"511",0,3,0,2,0,1,2,1
"512",0,3,0,1,0,0,0,2
"513",0,3,0,1,0,0,0,2
"514",0,3,0,2,0,0,2,2
"515",0,3,0,2,0,1,0,2
"516",0,3,0,2,0,1,0,2
"517",0,3,0,2,0,0,0,2
"518",0,3,0,2,0,0,0,2
"519",1,2,3,3,0,1,1,1
"520",0,3,0,2,0,0,2,2
"521",0,3,0,2,0,0,2,1
"522",0,4,0,2,0,0,2,1
"523",0,4,0,3,2,0,3,1
"524",0,4,0,2,0,1,1,1
"525",0,3,0,2,0,0,1,2
"526",1,6,1,3,0,0,0,1
"527",0,2,0,3,0,0,1,1
"528",0,3,0,2,0,0,1,2
"529",0,3,0,2,0,0,0,2
"530",0,3,0,2,0,0,0,2
"531",0,3,0,1,0,0,0,2
"532",0,3,0,2,0,0,0,2
"533",0,3,0,2,0,0,1,2
"534",0,3,0,2,0,0,0,2
"535",0,3,0,2,0,0,1,2
"536",0,3,0,3,0,0,1,2
"537",0,3,0,2,0,0,0,2
"538",0,3,0,2,0,0,2,2
"539",0,3,0,2,0,0,1,2
"540",0,3,0,1,0,0,0,2
"541",0,3,0,2,0,0,2,2
"542",0,3,0,3,0,0,1,2
"543",0,4,0,3,0,0,4,1
"544",0,6,0,3,0,0,1,1
"545",0,2,0,3,0,0,0,1
"546",0,3,0,2,0,0,1,1
"547",0,3,0,3,0,0,0,0
"548",1,3,1,2,0,1,1,2
"549",0,1,0,2,0,1,0,1
"550",0,3,0,2,0,0,1,1
"551",0,3,0,2,0,0,1,2
"552",0,3,0,2,0,0,1,2
"553",0,3,0,2,0,1,1,2
"554",0,3,0,2,0,0,1,2
"555",0,3,0,3,0,0,1,2
"556",0,3,0,2,0,0,0,2
"557",0,3,0,2,0,0,1,2
"558",0,3,0,3,0,0,0,3
"559",0,3,1,3,0,0,0,1
"560",0,2,1,3,0,0,1,1
"561",1,6,1,3,0,0,0,1
"562",0,4,0,3,0,0,0,2
"563",0,3,0,2,0,0,1,2
"564",0,1,0,2,0,0,0,1
"565",0,3,0,2,0,0,2,1
"566",1,2,3,3,0,1,1,1
"567",0,3,0,2,1,0,1,1
"568",0,2,0,1,0,0,3,1
"569",0,2,0,2,1,0,0,2
"570",0,2,0,3,0,0,1,2
"571",0,2,0,2,0,0,2,2
"572",0,5,0,2,0,0,0,1
"573",1,4,1,2,0,0,2,2
"574",1,4,2,2,0,0,2,1
"575",0,2,0,2,0,0,3,2
"576",0,2,0,1,0,0,2,1
"577",0,2,0,1,0,0,3,1
"578",0,2,0,1,0,0,1,1
"579",1,4,1,2,0,1,1,1
"580",0,1,0,2,2,0,1,1
"581",0,3,0,2,0,0,0,2
"582",0,3,0,2,0,0,1,2
"583",1,2,3,3,0,1,1,1
"584",0,3,0,2,0,0,0,2
"585",0,3,0,2,0,0,1,2
"586",0,3,0,2,0,0,0,1
"587",0,3,0,1,0,0,0,1
"588",0,3,0,3,0,0,2,2
"589",0,3,0,3,0,0,1,2
